full_name,a,e,i,om,w,q,ad,per_y,data_arc,n_obs_used,H,first_obs,epoch
       (2011 KL12),1.569,0.3802,32.3,239.04,50.6,0.972,2.17,1.96,8,32,22.2,2011-05-25,2455709.5
       (2011 KG13),2.299,0.6193,2.55,71.18,121.46,0.875,3.72,3.49,1,20,25.7,2011-05-27,2455709.5
       (2011 KC15),2.439,0.5584,3.81,254.53,358.34,1.077,3.8,3.81,157,70,21.1,2011-03-26,2460200.5
       (2011 KE15),1.701,0.4289,1.57,74.68,210.72,0.972,2.43,2.22,9,31,26.9,2011-05-26,2460200.5
       (2011 KJ15),1.906,0.732,11.35,86.81,268.69,0.511,3.3,2.63,12,56,23.1,2011-05-27,2455711.5
       (2011 KK15),2.438,0.6102,1.25,230.64,343.09,0.95,3.93,3.81,37,68,22.3,2011-05-27,2460200.5
       (2011 KT15),2.12,0.4238,4.12,223.64,101.62,1.221,3.02,3.09,13,15,20.29,2011-05-25,2455711.5
       (2011 KU15),1.955,0.8761,4.4,214.49,166.85,0.242,3.67,2.73,9,18,21.8,2011-05-26,2455711.5
       (2011 KV15),2.553,0.6124,4.09,66.09,215.35,0.99,4.12,4.08,5,17,26.2,2011-05-26,2455709.5
       (2011 KX15),1.478,0.2903,5.45,76.83,167.07,1.049,1.91,1.8,5,26,26.6,2011-05-28,2455710.5
       (2011 KY15),0.6487,0.603,16.87,242.95,185.77,0.258,1.04,0.522,6,29,24.42,2011-05-27,2455710.5
       (2011 KP16),1.602,0.3507,3.32,84.16,186.19,1.04,2.16,2.03,16,57,25.3,2011-05-29,2460200.5
       (2011 KN17),2.25,0.6764,5.82,247.43,280.96,0.728,3.77,3.37,23,97,22.6,2011-05-30,2460200.5
       (2011 KO17),2.404,0.5746,4.04,256.45,308.84,1.023,3.79,3.73,4235,96,20.06,2011-01-13,2460200.5
       (2011 KP17),1.95,0.552,6.6,169.02,179.87,0.874,3.03,2.72,4220,215,19.18,2011-05-12,2460200.5
       (2011 KQ19),1.712,0.3909,22.5,252.06,290.8,1.043,2.38,2.24,31,60,21.8,2011-05-30,2460200.5
       (2011 KW19),1.781,0.3172,10.02,151.17,158.05,1.216,2.35,2.38,6902,85,20.78,2004-12-16,2460200.5
       (2011 KG20),2.306,0.7504,22.89,242.14,102.73,0.575,4.04,3.5,3,32,24.02,2011-05-31,2455713.5
       (2011 KJ20),2.241,0.8156,14.18,65.99,346.67,0.413,4.07,3.35,6,15,18.4,2011-05-28,2455713.5
       (2011 KF36),2.122,0.6496,25.69,213.78,80.12,0.743,3.5,3.09,2,9,20.45,2011-05-30,2455713.5
       (2011 LH),1.931,0.4578,37.57,85.23,113.17,1.047,2.81,2.68,2946,154,19.65,2011-06-03,2460200.5
       (2011 LD1),1.697,0.7791,39.38,83.11,31.71,0.375,3.02,2.21,4021,134,19.23,2011-06-03,2460200.5
